52.19,62.18,144.25,111.34
96.92,59.03,126.55,118.04
48.78,61.45,126.43,118.7
43.49,59.06,126.42,112.35
96.65,55.35,116.08,126.01
46.56,70.1,118.21,115.32
62.44,54.69,123.94,126.75
67.15,62.71,123.67,111.73
61.75,59.58,99.88,124.96
69.71,71.11,128.45,122.93
67.13,60.33,120.8,112.16
36.61,61.58,102.18,115.77
56.17,57,123.72,121.21
81.28,64.31,132.73,121.07
54.78,65.94,106.29,128.38
59.95,59.6,122.75,120.84
81.36,58.28,95.91,113.8
60.14,59.08,105.61,118.84
71.71,62.8,114.39,113.39
62.65,60.48,135.71,125.67
75.44,57.26,116.3,119.96
76.38,56.99,138.9,115.84
47.45,60.4,105.77,117.85
57.58,65.54,99.72,120.62
78.56,59.16,135.75,119.55
72.87,62.13,109.99,111.47
54.74,70.54,141.97,112.24
64.75,67.05,121.52,111.79
56.81,60.91,100.16,122.88
71.93,59.61,161.05,118.81
70.26,58.07,90.96,120
72.19,61.31,113.27,117.6
57.04,58.6,128.73,125.62
42.88,61.3,119.97,115.36
73.66,57.49,122.09,119.86
86.89,60.25,117.22,107.01
53.12,56.77,124.24,116.81
94.45,60.86,130.52,114.9
62.76,54.37,136.38,122.75
64.33,57.31,110.6,120.2
54.29,59.99,127.08,116.83
63.18,61.85,96.09,112.47
63.24,62.61,123.77,123.62
58.52,59.99,99.56,117.62
50.26,60.18,110.72,119.76
57.22,60.69,110.38,116.66
50.68,63.3,117.99,121.24
94.47,61.93,135.24,129.86
49.24,63.41,102.99,118.26
49.71,66.44,135.19,93.82
68.41,61.02,79.2,118.71
58.63,55.85,102.07,109.63
76.14,67.78,120.79,119.54
56.16,57.01,128.02,128.38
79.93,57.71,107.91,119.25
75.75,57.74,117.04,119.24
69.67,59.49,126.52,124.07
53.05,59.81,129.7,115.16
48.98,56.34,113.44,119.15
62.8,62.1,110.73,118.24
53.49,59.08,123.02,118.77
92.19,58.7,121.76,119.04
63.45,59.15,139.83,112
60.27,65.77,126.88,107.59
89.18,56.88,107.79,124.2
46.57,63.32,117.12,124.61
56.7,60.38,123.97,128.34
45.93,57.36,118.27,128.04
65.08,63.82,125.72,120.74
54.29,60.46,127.55,121.65
62.68,63.68,124.15,125.23
70.75,57.39,121.92,128.69
65.95,60.34,129.81,126.86
73.71,54.68,107.68,119.37
57.61,66.15,88.65,129.89
51.52,56.17,130.87,119.17
46.87,56.78,93.49,122.21
60.11,68.28,128.69,121.29
63.47,56.48,148.39,118.89
69,60.92,127.79,118.8
57.6,59.87,106.32,118.1
98.48,63.96,93.49,120.24
46.69,58.45,140.61,130.75
42.97,58,93.33,117.89
51.16,62.5,131.46,130.57
60.46,59.27,108.97,125.1
75.25,68.85,111.75,127.26
55.58,54.4,102.46,123.41
57.36,68.2,129.28,118.72
62.01,59.31,127.69,115.95
62.13,58.03,115.21,123.15
73.27,66.93,111.9,116.71
51.2,64.13,113.13,118.91
73.59,51.49,133.07,118.58
63.42,56.95,133.66,121.54
66.27,66.83,127.51,121.17
60.3,62.64,132.9,116.03
58.66,63.55,135,124.71
66.18,64.04,142.86,112.98
56.63,57.2,122.5,120.18
51.99,62.93,114.46,116.26
57.02,59.93,133.01,123.48
59.73,60.58,135.85,125.25
63.11,56.58,85.91,122.51
87.38,59.85,134.28,121.63
49.68,62.83,125.08,118.97
41.9,56.01,96.61,133.64
41.23,63.24,152.77,122.82
59.17,63.32,149.05,121.2
48.47,62.01,71.28,118.7
62.56,61.03,125.9,123.78
64.23,62.37,131.54,134.11
79.75,60.12,127.25,110.99
82.05,63.56,86.74,123.49
42.98,59.09,146.99,122.91
43.57,62.81,116.83,131.3
47.24,68.13,112.5,116.6
60.6,56.92,104.44,129.46
62.78,58.75,115.2,110.7
66.82,60.82,132.05,124.24
58.19,61.89,124.65,120.3
56.76,53.63,130.15,118.73
75.81,69.68,121.05,122.02
92.6,61.28,124,127.66
61.94,57.79,118.99,118.32
45.13,61.7,103.91,124.6
52.32,62.04,104.07,119.59
97.63,67.66,83.49,130.53
41.69,60.42,142.77,124.2
48.78,57.58,114.92,116.02
64.34,60.95,145.1,123.99
47.88,66.8,149.37,120.43
84.77,57.32,80.22,107.18
66.81,61.94,109.46,124.29
62.12,58,131.15,127.65
75.16,65.02,112.25,115.99
85.79,58.23,122.18,122.5
76.8,60.23,132.94,103.25
74.83,62.27,120.24,122.2
66.53,57.26,127.43,112.8
54.27,66.52,136.25,119.04
72.74,59.43,129.13,119.78
53.44,67.75,128.66,113.47
51.9,58.91,124.28,118.57
61.31,60.47,111.05,121.92
79.87,62.42,121.8,118.51
51.72,60.84,129.09,125.9
70.55,60.19,142.2,128.82
48.89,62.54,119.08,124.43
59.69,54.47,114.58,112.2
89.58,68.59,119.39,118.56
68.38,67.61,136.41,119.92
49.47,58.28,104.07,120.32
53.75,64.62,106.93,125.17
54.58,55.56,120.96,120.04
68.81,67.23,127.69,113.68
77.7,59.61,124.72,128.87
48.82,57.99,136.58,122.78
54.6,62.34,130.65,133.19
61.3,60.64,138.82,115.56
60.39,62.67,83.18,118.81
71.43,57.29,142.62,125.55
56.13,67.3,80.02,122.55
65.97,58.69,138.43,120.95
83.8,62.98,134.21,119.46
70.97,67.68,128.37,112.31
55.37,58.86,118.42,121.85
59.25,56.23,108.13,132
77.75,64.61,85.38,124.14
74.26,56.23,111.63,126.17
55.23,68.48,128.91,129.27
58.39,56.94,96.79,125.53
72.97,65.64,117.68,119.09
68.19,56.27,124.78,110.26
54.66,57.34,131.95,121.85
68.57,65.46,120.96,124.88
62.17,63.61,135.07,117.34
77.15,54.7,116.07,111.88
74.6,59.11,85.56,130.47
53.62,61.29,83.79,124.52
48.06,64.35,111.11,117.63
52.36,60.94,130.9,109.83
69.58,59.18,133.97,137.48
63.92,65.75,105.26,126.83
59.48,70.09,129.26,123.61
66.19,59.32,133.88,122.05
83.45,59.19,100.87,122.31
68.34,63.09,128.55,120.69
83.38,59.4,107.26,114.67
40.18,61.7,153.71,124.36
78.93,57.03,107.48,119.43
72.53,60.72,124.49,122.98
43.55,58.05,108.57,123
99.6,58.23,131.97,114.96
76.17,66.31,106.75,113.63
88.26,65.33,101.34,131.08
60.71,59.88,111.42,123.07
52.82,63.85,112.59,115.97
64.16,57.94,126.57,134.34
70.14,58.99,116.22,112.33
68.1,62.6,95.36,128.78
62.67,61.07,121.29,125.66
66.36,73.95,125,119.58
48.34,59.65,142.49,125.59
82.14,55.7,103.16,120.83
61.51,52.58,124.75,107.91
70.76,67.37,123.5,119.54
66.47,69.71,134.65,115.96
48.69,63.9,127.05,117.51
66.83,62.09,132.96,119
67.86,59.45,114.59,129.74
60.22,62.83,111.27,113.2
47.7,64.12,107.4,120.37
67.02,57.5,125.65,120.1
46.17,65.38,132.87,118.84
47.68,59.57,128.32,134.46
74,61.29,136.41,121.58
50.75,61.84,128.23,117.06
53.66,65.12,105.53,119.84
43.85,61.31,134,128.23
68.55,67.42,132.75,142.91
67.99,64.04,127.52,123.88
63.39,62.11,124.75,121.82
60.52,61.73,130.95,116.25
54.94,66.47,114.57,132.07
88.93,57.88,131.69,120.17
52.76,62.85,103.71,116.21
52.59,64.22,85.6,112.11
69.13,61.15,112.91,119.81
50.21,61.18,137.89,121.33
92.56,72.03,108.56,131.06
45.69,66.3,141.57,121.76
62.95,69.27,114.56,120.69
67.33,61.3,140.12,125.19
50.1,58.14,144.05,110.42
70.36,64.82,127.1,119.08
79.98,59.33,129.28,129.17
66.22,56.31,104.41,122.76
69.55,64.71,136.91,115.36
58.92,53.03,126.65,130.81
64.64,69.21,127.46,117.39
62.63,63.29,132.25,117.97
51.57,63.6,120.13,120.4
52.92,59.71,120.2,128.38
65.74,59.44,135.17,123.03
56.74,71.2,129.93,125.78
79.03,55.27,124.58,119.76
42.93,61.51,124.36,115.71
62.21,58.32,112.2,112.11
58.97,63.49,151.37,118.56
35.99,63.3,111.07,115.09
67.11,61.56,135.84,120.2
90,59.3,125.04,114.35
59.39,59.52,127.17,122.53
52.35,61.75,145.51,120.41
78.15,60.54,137.52,119.94
47.16,60.46,122.39,116.51
46.02,66.31,113.9,130.13
75.25,58.94,128.03,126.56
64.68,62.36,144.91,114.77
52.18,58.49,119.52,117.36
56.03,54.81,129.92,124.27
55.34,66.19,110.95,116.72
83.8,72.02,99.98,127.27
50.17,68.03,117.3,127.31
64.75,55.91,89.32,130
65.4,71.73,140.78,126.66
60.88,58.31,112.72,114.24
46.23,75.26,132.9,109.37
71.43,64.12,146.22,127.37
62.29,70.19,112.15,120.02
69.7,59.82,125.08,119.96
46.02,65.81,120.63,120.33
71.3,67.38,119.33,113.74
44.23,62.32,120.77,121.74
70.01,60.95,118.33,123.12
63.02,53.18,111.81,121.11
51.3,63.05,99.78,122
61.72,59.55,135.23,120.75
68.58,67.27,126.58,120.12
46.86,64.1,100.38,118.45
50.3,60.71,87.29,119.78
90.75,61.46,89.45,121.34
53.97,68.79,120.31,117.75
114.34,54.41,107.94,120.61
62.69,57.46,100.97,114.34
56.64,54.82,139.9,121.25
66.56,66.45,130.44,114.35
58.88,61.39,103.98,116.15
82.86,61.62,111.64,122.14
54.15,62.86,132.66,116.81
48.22,65.45,132.05,117.62
59.17,61.15,111.41,117.65
74.34,60.64,146.82,120.29
67.37,66.98,110.3,115.04
71.22,54.42,100.08,119.75
66.17,59.56,101.41,111.99
44.49,60.48,130.91,107.92
46.44,62.74,120.26,101.93
56.93,63.15,117.59,115.16
59.62,57.99,118.84,109.37
73.73,64.21,84.37,119.3
64.57,62.72,126.37,113.15
42.3,58.81,136.97,123.54
50.03,63.23,124.47,121.26
52.65,61.81,125.55,117.39
66.78,62.94,107.94,117.17
79.35,62.27,135.89,125.92
66.57,59.27,139.4,118.86
46.13,61.57,109.92,127.63
45.45,58.6,109.55,105.36
48.16,64.94,117.94,124.37
55.94,61.98,134.56,123.55
68.04,64.66,128.96,112.4
58.57,68.13,111.24,120.85
58.13,56.69,127.31,116.27
46.43,64.73,139.05,123.85
70.49,53.27,113.66,120.14
83.45,58.9,122.57,107.89
70.93,58.42,119.26,121.13
84.14,61.82,116.51,124.01
70.02,57.53,84.54,115
50.23,66.36,107.66,120.06
60.98,61.25,114.73,115.61
74.61,61.36,110.28,116.17
38.41,62.08,115.19,118.53
74.37,58.32,122.26,124.07
97.92,58.11,113.39,117.35
60.82,51.14,113.68,116.24
63.86,63.53,129.11,124.37
62.24,61,114.97,122.71
53.25,60.57,118.19,117.23
48.93,56.19,114.66,117.12
55.04,64.72,110.11,110.69
93.28,61.86,125.91,115.23
65.91,57.13,83.61,121.68
53.98,65.26,149.18,113.63
65.95,58.85,127.84,120.19
92.21,72.43,99,125.57
104.31,60.01,90.53,113.63
48.16,60.27,120.75,113.2
93.32,63.1,121.82,128.37
52.18,60.46,123.11,124.08
66.21,58.45,135.71,126.82
87.99,62.01,101.26,121.67
62.68,56.47,127.47,124.13
48.98,62.14,121.99,110.77
69.44,55.81,107.96,117.31
57.13,56.04,143.69,115.33
40.96,64.51,141.75,108.15
60.11,54.09,82.15,121.68
75.7,57.26,118.94,116.67
58.41,65.7,124.17,113.14
49.69,58.12,82.61,117.78
60.6,67.28,122.03,123.91
71.34,61.24,113.47,124.74
45.69,60.3,114.88,114.56
85.52,60.63,110.3,119.29
47.66,61.09,137.3,122.98
72.18,60.91,110.07,118.17
37.13,62.05,126.6,112.08
57.79,64.59,120.86,108.76
49.12,58.61,106.99,121.22
85.89,58.86,140.5,114.48
59.93,62.53,136.89,111.92
56.67,60.76,102.54,117.21
62.19,61.66,113.32,120.27
50.61,62.55,111.05,114.06
56.28,60.32,121.56,112.11
74.33,62.64,110.42,110.66
60.29,60.64,133,122.97
53.78,56.22,130.83,117.11
56.28,61.27,147.08,112.66
51.58,58.41,117.1,132.06
47.4,68.31,117.19,107.53
75.59,61.46,128.98,126.69
73.63,53.6,129,119.33
48.34,62.74,117.83,121.43
72.78,66.53,105.39,116.86
44.67,54.48,121.18,111.95
39.68,59.93,130.84,120.34
94.61,63.28,136.62,124.09
92.78,60.14,136.67,127.85
99.45,67.45,117.3,125.13
72.65,57.78,119.91,127.84
65.14,60.28,127.23,115.85
72.46,64.8,94.21,118.3
56.45,60.66,121.95,131
46.5,59.71,126.42,111.02
52.32,65.95,128.04,119.32
62.24,61.62,134.5,111.34
55.74,56.5,117.12,128.89
53.55,61.81,132.16,117.92
76.58,59.68,139.41,122.59
76.05,60.7,121.23,121.7
59.3,63.32,124.89,125.25
51.72,58.51,127.84,122.09
59.16,63.55,103.64,129.76
55.74,62.91,112.67,131.76
60.73,57.1,119.32,127.16
42.55,61.47,65.78,122.84
42.89,61.6,113.85,127.06
75.12,60.96,137.93,124.48
52.8,62.78,127.72,123.74
49.84,59.64,116.86,110.09
59.31,59.77,123.43,124.24
45.7,62.77,119.01,125.01
83.52,59.17,130.14,129.72
83.39,60.61,124.57,125.37
48.77,65.8,121.96,109.56
58.24,54.6,122.87,121.99
65.81,61.75,130.2,121.59
66.47,62.5,124.14,119.27
67.62,60.77,135.92,114.09
70.02,56.24,122.43,106.08
89.33,62.68,135.25,122.74
60.57,59.36,110.17,108.28
50.87,60.87,129.67,109.71
75.28,58.18,107.94,116.13
69.45,61.72,120.18,119.33
65.69,54.2,135.16,129.61
38.31,63.61,112.81,121.83
51.35,63.19,126.13,124.54
42.97,59.27,122.97,125.48
46.01,59.98,97.8,119.22
55.8,63.27,138.5,114.66
58.46,54.02,115.18,117.56
103.23,64.61,97.33,118.39
60.57,68.97,103.71,127.09
110.47,62.34,107.25,121.72
81.73,60.98,145.77,117.41
48.01,60.13,116.58,121.76
55.5,66.09,126.97,121.06
74.31,58.73,122.85,117.09
79.69,58.38,155.32,122
84.31,73.69,131.4,119.08
82.2,59.26,117.57,121.72
73.52,54.83,109.38,130.99
54.56,55.54,132.84,113.04
62.32,57.71,124.31,126.47
65.63,64.97,117.49,120.23
48.2,67.18,126.57,122.48
60.42,60.36,117.92,120.32
51.02,58.23,125.16,124.67
58.59,65.74,128.45,108.68
91.19,60.62,117.79,124.43
54.6,60.57,117.56,125.12
61.46,58.3,112.79,122.24
64.18,65.81,118.34,124.51
60.91,63.65,77.65,116.73
52.61,63.52,90.84,111.09
98.88,63.7,117.11,115.39
57.01,56.51,135,114.46
65.22,62.62,113.09,124.51
73.32,57.15,108.97,107.26
58.49,57.58,91.98,121.22
57.05,67.04,120.75,108.53
63.19,60.61,140.17,110.52
54.36,62.93,113.95,125.7
57.19,57.36,97.59,121.73
62.91,68.76,133.18,127.21
51.66,59.16,90.37,119.86
59.3,59.87,105.7,125.2
49.68,59.38,145.63,117.13
51.53,65.77,122.99,110.7
93.83,60.55,139.17,123.95
85.71,60.56,90.39,114.17
71.6,59.56,120.96,127.57
76.29,57.99,115.13,121.13
67.38,60.75,118.58,111.34
60.51,55.59,133.25,121.19
72.49,59.3,132.65,120.82
52.68,62.02,94.7,118.33
51.39,60.44,147.41,124.35
57.76,65.82,123.08,114.31
47.6,62.15,134.28,126.15
63.55,64.09,132.05,116.42
83.14,63.41,100.86,118.62
61.38,61.04,126.99,130.35
54.02,70.73,127.2,131.29
87.74,65.26,117.17,123.33
40.95,51.2,126.11,125.17
53.23,59.42,114.17,104.14
56.33,60.38,125.78,115.64
70.24,63.95,122.89,112.34
60.81,61.43,90.23,113.03
47.38,67.6,129.35,126.67
62.66,54.4,95.17,117.14
48.46,66.92,126.45,118.77
59.73,63.35,118.74,112.12
38.99,58.64,95.67,129.05
68.2,62.5,123.3,126.11
63.88,60.33,110.32,117.91
48.29,56.84,95.09,119.56
59.51,62.01,110.42,120.51
64.88,63.61,116.7,123.18
74.57,69.77,112.82,129.24
60.33,62.68,124.13,121.57
70.99,56.13,69.41,120.82
81.11,62.25,120.63,118.33
61.22,61.12,116.67,124.35
59.8,67.64,107.4,114.31
50.49,61.7,99.52,126.15
59.85,58.5,102.11,116.42
80.33,65.63,132.15,118.62
49.13,65.89,131.57,130.35
54.59,58.44,113.2,131.29
66.95,59.13,120.94,123.33
84.75,57.89,128.38,125.17
55.45,65.41,124.38,104.14
49.52,65.03,92.52,115.64
74.65,63.37,129.21,112.34
56.32,63.8,109.91,113.03
62.39,60.09,116.96,126.67
66.13,56.24,97.25,117.14
68.51,66.97,138.1,118.77
70.06,56.64,103.78,112.12
59.69,61.31,136.74,129.05
53.26,60.42,107.41,126.11
102.7,64.08,131.84,117.91
74.05,63.91,129.59,119.56
93.67,60.89,124.33,120.51
60.59,67.38,117.1,123.18
64.5,57.02,95.36,129.24
62.22,61.67,120.48,121.57
78.13,57.76,136.13,116.98
64.75,61.98,95.9,113.6
80.24,57.21,147.4,115.82
55.34,68.28,127.59,115.9
85.89,60.63,119.47,114.03
48.22,56.84,133.28,122.46
53.58,58.89,157.77,122.36
80.72,64.5,130.44,122.22
82.74,59.71,90.78,124.19
68.64,60.59,126.31,116.68
53.67,58.5,109.5,110.53
54.71,54.27,112.49,128.43
63.79,61.74,84.9,119.72
71.75,60.44,130.08,118.2
70.77,66,97.71,117.51
45.53,69.65,120.18,128.93
53.9,61.61,117.68,116.09
53.16,66.38,106.03,115.39
78.98,52.38,98.22,116.3
52.19,62.05,129.78,120.78
49.56,61.78,105.6,128.26
79.66,61.54,109.91,121.73
100.58,60.3,132.84,124.63
62.49,59.71,134.45,136.25
58.13,63.91,128.49,112.38
68.46,63.31,131.36,123.51
35.74,63.41,130.74,111.4
57.88,58.69,131.1,119.59
75.76,60.26,92.12,121.81
96.25,58.69,116.84,115.17
59.18,60.09,124.54,124.27
60.18,65.95,136.58,121.73
56.61,58.99,102.75,121.33
57.5,62.81,91.23,116.38
74.28,61.06,88.17,116.52
56.99,56.94,142.77,122.55
37.34,60.69,107.37,110.64
100.89,57.93,128.99,115.75
42.81,62.1,130.9,129.99
48.78,60.61,118.41,128.04
55.77,61.54,126.99,115.15
84.79,53.75,117.56,116.97
53.1,68.99,128.78,129.45
65.99,54.87,133.22,117.88
69.72,59.36,104.43,119.51
51.72,67.48,139.84,119.29
80.05,60.21,120.88,110.27
59.43,62.12,122.28,122.62
63.75,63.03,135.19,110.16
57.11,56.74,147.72,124.34
56.11,59.26,127.61,122.76
62.62,61.07,137.99,110.38
74.06,59.64,117.59,117.44
63.12,61.38,122.5,119.92
84.45,58.17,126.04,119.8
55.84,58.59,133.75,122.78
58.32,59.71,137.64,119.29
68.93,52.94,116.02,118.36
57.95,57.51,125.43,118.86
104.72,50.57,130.14,119.51
55.18,55.62,101.72,122.81
45.22,65.6,111.5,129.51
59.07,56.99,126.67,120.76
67.37,55.03,122.96,123.49
70.1,64.33,119.24,123.28
